,Rx_Tx,state_1_rssi(dBm),state_2_rssi(dBm),state_3_rssi(dBm),state_4_rssi(dBm),state_5_rssi(dBm)
0,1_2,-68.04166666666667,-62.77604166666666,-62.137724550898206,-60.714285714285715,-64.8046875
1,1_11,-65.69230769230771,-67.12162162162164,-63.85,-57.8,-69.53846153846153
2,1_12,-67.46296296296296,-63.75862068965517,-57.93333333333333,-57.0,-63.653846153846146
3,1_13,-71.66197183098592,-58.125,-58.0952380952381,-58.0,-62.05633802816902
4,1_14,-68.7,-59.0,-67.2051282051282,-59.75,-61.2686567164179
5,1_15,-68.0,-69.21333333333334,-66.63793103448276,-59.058823529411775,-61.125
6,1_16,-67.65,-67.09375,-65.02666666666667,-62.1,-60.9672131147541
7,1_17,-70.35897435897436,-65.0,-65.42424242424242,-64.5,-61.56666666666667
8,1_18,-67.2361111111111,-64.62337662337664,-66.57377049180327,-69.0,-63.720588235294116
9,1_19,-66.55714285714286,-65.69841269841271,-68.69117647058823,-63.5,-66.59701492537313
10,2_2,-62.208,-62.0887573964497,-60.41935483870968,-61.04864864864865,-65.61946902654867
11,2_11,-68.76470588235293,-67.72340425531915,-59.11764705882353,-58.111111111111114,-65.27777777777777
12,2_12,-69.30666666666667,-57.22222222222222,-57.5625,-57.25,-59.72222222222222
13,2_13,-62.19047619047619,-55.875,-57.81818181818182,-67.0,-58.78082191780822
14,2_14,-60.13636363636363,-55.88235294117647,-58.1875,-65.55555555555556,-58.12307692307692
15,2_15,-59.56521739130435,-56.526315789473685,-58.77777777777778,-63.89655172413793,-57.444444444444436
16,2_16,-58.85,-62.4,-59.79166666666666,-64.05555555555556,-58.911764705882355
17,2_17,-58.47368421052632,-67.8735632183908,-60.6,-64.39622641509433,-59.0
18,2_18,-67.29885057471265,-66.69767441860465,-65.7,-64.94339622641509,-59.720588235294116
19,2_19,-66.0945945945946,-69.53521126760563,-69.45454545454545,-65.31481481481481,-63.18666666666667
20,3_2,-58.69477911646587,-58.31081081081082,-62.50877192982456,-62.29545454545455,-67.06611570247934
21,3_11,-72.8888888888889,-59.235294117647065,-67.36363636363636,-66.8,-64.27868852459017
22,3_12,-63.68,-56.72727272727273,-58.88235294117647,-67.42857142857143,-59.13846153846154
23,3_13,-58.9,-55.79166666666666,-68.41176470588235,-63.018867924528294,-57.048387096774185
24,3_14,-57.85,-55.57142857142857,-66.54237288135593,-61.38775510204081,-57.13432835820896
25,3_15,-56.40909090909091,-56.1,-64.17910447761193,-60.25,-56.95588235294117
26,3_16,-55.875,-56.8,-64.9298245614035,-60.32692307692307,-56.17460317460318
27,3_17,-55.66666666666666,-57.8,-63.935483870967744,-60.7457627118644,-54.5
28,3_18,-56.61904761904761,-59.6,-64.875,-58.523809523809526,-56.15
29,3_19,-63.03703703703704,-67.7,-66.45762711864407,-61.29090909090909,-62.66666666666666
30,4_2,-59.34728033472803,-62.671328671328666,-63.31845238095239,-64.69565217391305,-68.84210526315789
31,4_11,-72.46,-68.47619047619048,-67.0701754385965,-69.22222222222223,-64.96825396825396
32,4_12,-63.0625,-58.055555555555564,-59.81818181818182,-68.02083333333333,-59.375
33,4_13,-58.45833333333334,-56.6,-67.43939393939394,-62.755555555555546,-59.79746835443038
34,4_14,-57.19047619047619,-56.45454545454545,-65.19402985074628,-60.480769230769226,-58.485714285714295
35,4_15,-55.875,-56.764705882352935,-63.88888888888889,-59.849056603773576,-55.622950819672134
36,4_16,-55.58333333333334,-63.04347826086956,-63.46969696969697,-58.95454545454545,-54.379310344827594
37,4_17,-54.94736842105264,-69.3012048192771,-63.14754098360656,-60.519230769230774,-54.526315789473685
38,4_18,-59.45454545454545,-68.2840909090909,-62.849056603773576,-57.488372093023266,-55.877192982456144
39,4_19,-68.7948717948718,-70.3409090909091,-65.56140350877193,-61.10909090909091,-62.34782608695652
40,5_2,-58.53080568720379,-62.86702127659574,-63.22666666666667,-66.53370786516854,-59.88235294117647
41,5_11,-71.52830188679245,-69.37333333333333,-66.13793103448276,-68.33333333333333,-63.1639344262295
42,5_12,-65.8611111111111,-57.45,-60.88235294117647,-66.60714285714286,-56.96825396825397
43,5_13,-57.68,-56.25,-66.7741935483871,-61.21052631578947,-54.98412698412698
44,5_14,-56.07142857142857,-57.0,-64.31343283582089,-60.018518518518526,-54.230769230769226
45,5_15,-54.88888888888889,-64.96774193548387,-63.0,-58.511111111111106,-53.49230769230769
46,5_16,-54.47619047619048,-69.76543209876543,-62.26666666666666,-58.480769230769226,-53.8
47,5_17,-53.842105263157904,-68.015625,-61.77777777777778,-58.949152542372886,-54.07936507936508
48,5_18,-66.8125,-66.51807228915662,-62.234375,-56.224489795918366,-55.280701754385966
49,5_19,-66.47826086956522,-68.35526315789474,-61.22916666666666,-60.540983606557376,-59.24137931034482
50,6_2,-58.026315789473685,-63.35,-64.96402877697842,-68.82945736434108,-59.15
51,6_11,-69.28813559322033,-67.70454545454545,-66.69230769230771,-69.10714285714286,-63.92727272727273
52,6_12,-69.01315789473685,-63.43478260869565,-64.3888888888889,-67.63265306122449,-57.612903225806456
53,6_13,-57.85714285714285,-58.125,-67.11267605633803,-61.8695652173913,-55.49180327868853
54,6_14,-56.615384615384606,-57.91666666666666,-64.8225806451613,-60.68888888888889,-54.932203389830505
55,6_15,-54.8,-70.04545454545455,-63.38095238095239,-60.224489795918366,-54.35
56,6_16,-54.85714285714285,-68.48529411764707,-62.8135593220339,-58.84,-54.57142857142857
57,6_17,-54.14285714285714,-66.59782608695652,-62.484375,-56.67441860465117,-54.82142857142857
58,6_18,-67.42666666666666,-65.47252747252746,-61.80769230769231,-56.29268292682927,-56.125
59,6_19,-65.55696202531645,-67.04054054054055,-59.71794871794872,-58.24390243902439,-59.932203389830505
60,7_2,-57.977777777777774,-63.53846153846154,-66.63492063492063,-60.230769230769226,-67.17391304347827
61,7_11,-67.39285714285714,-66.67073170731706,-67.04838709677419,-68.7948717948718,-65.03225806451613
62,7_12,-66.89285714285714,-67.72058823529412,-67.64285714285714,-66.8809523809524,-59.295081967213115
63,7_13,-60.875,-58.7,-67.17142857142858,-60.0,-55.7037037037037
64,7_14,-56.05263157894736,-64.5,-65.24657534246576,-58.860465116279066,-55.04
65,7_15,-54.78571428571429,-67.85294117647061,-63.43835616438356,-57.35714285714285,-54.38
66,7_16,-54.92307692307693,-66.57142857142857,-62.969230769230776,-56.71794871794872,-54.615384615384606
67,7_17,-69.25,-65.39240506329114,-63.07017543859649,-56.131578947368425,-54.9433962264151
68,7_18,-65.57894736842105,-64.47222222222223,-58.55813953488372,-55.92307692307693,-56.26785714285714
69,7_19,-64.325,-64.8103448275862,-59.04444444444446,-57.76744186046512,-60.375
70,8_2,-59.49411764705882,-65.16129032258064,-66.40845070422536,-67.54301075268818,-66.7439024390244
71,8_11,-64.77551020408163,-66.08219178082193,-66.80769230769229,-68.51923076923077,-66.08620689655173
72,8_12,-65.63513513513513,-68.30263157894737,-70.45833333333333,-66.88235294117646,-60.5
73,8_13,-67.27536231884058,-64.0,-67.3888888888889,-61.80392156862745,-59.77586206896552
74,8_14,-57.72222222222222,-70.12195121951221,-65.17460317460318,-60.224489795918366,-59.97014925373134
75,8_15,-56.0952380952381,-67.45161290322581,-62.764705882352935,-59.76190476190475,-58.96875
76,8_16,-55.73684210526316,-66.2125,-60.384615384615394,-59.450980392156865,-59.661290322580655
77,8_17,-66.43835616438356,-64.67123287671232,-58.64583333333334,-57.65217391304348,-57.346153846153854
78,8_18,-62.973333333333336,-62.94666666666666,-57.714285714285715,-56.33333333333334,-58.518518518518526
79,8_19,-63.02898550724638,-62.524590163934434,-58.53846153846154,-61.1,-65.375
80,9_2,-62.526748971193406,-67.64957264957265,-64.52397260273972,-62.815384615384616,-66.05147058823529
81,9_11,-63.80392156862745,-65.24137931034483,-66.29230769230769,-69.58695652173913,-69.56451612903226
82,9_12,-66.08571428571429,-69.57142857142857,-63.764705882352935,-67.25581395348837,-64.734375
83,9_13,-67.95588235294117,-71.4,-66.51351351351353,-63.25,-63.693548387096776
84,9_14,-60.2,-71.67567567567569,-64.4090909090909,-61.39622641509435,-63.7313432835821
85,9_15,-59.0,-68.78378378378379,-62.5,-59.78723404255321,-63.73846153846154
86,9_16,-59.62962962962962,-67.01470588235293,-61.85,-60.46808510638298,-64.26086956521739
87,9_17,-66.31081081081079,-64.671875,-61.1639344262295,-60.523809523809526,-64.41666666666667
88,9_18,-63.65217391304348,-62.16071428571429,-62.14492753623188,-58.55263157894736,-66.43055555555556
89,9_19,-63.04347826086956,-62.206896551724135,-59.47826086956522,-61.45614035087719,-69.11864406779661
90,10_2,-68.09239130434783,-64.94736842105263,-62.81,-61.872448979591844,-64.85245901639344
91,10_11,-64.0,-66.15492957746478,-67.37704918032786,-58.3125,-60.83333333333334
92,10_12,-65.83333333333333,-68.12345679012347,-59.16666666666666,-57.90909090909091,-60.75
93,10_13,-70.5925925925926,-62.13333333333333,-66.7638888888889,-66.36363636363636,-63.0
94,10_14,-69.10526315789474,-70.19230769230771,-64.3030303030303,-64.66,-64.05
95,10_15,-68.0,-67.38571428571429,-63.04477611940298,-63.45833333333334,-66.5
96,10_16,-68.07142857142857,-66.37837837837836,-62.61904761904761,-63.7,-68.30769230769229
97,10_17,-69.4054054054054,-64.7948717948718,-62.403225806451616,-63.6,-71.0
98,10_18,-66.15068493150686,-63.45588235294117,-62.952380952380956,-64.0,-70.6
99,10_19,-65.77631578947367,-62.80357142857143,-64.08955223880596,-65.07843137254902,-65.14285714285714
